model,roc_auc,pr_auc,brier,ece,threshold,f1,note
BBN (proposed),0.7666145833333333,0.6786187859981343,0.18715577877192466,0.09948707769142369,0.73,0.20224719101123595,weighted EM CPTs; causal explanation
CPU threshold,0.6224479166666667,0.5998451568994504,n/a,n/a,0.61,0.18181818181818182,single-metric reactive baseline
Logistic regression,0.7577604166666667,0.6712336970953883,0.19848921424940427,0.11822833507358099,0.81,0.13953488372093023,raw telemetry; training-only imputation
Random forest,0.8725520833333333,0.8445101384774599,0.19543055095451656,0.20316152957327385,0.54,0.44660194174757284,raw telemetry; training-only imputation
Histogram gradient boosting,0.79546875,0.7284481949561373,0.20821953935569937,0.17779619634610375,0.71,0.2708333333333333,raw telemetry; training-only imputation
