target_fraction,concentration,auc,pr_auc,brier,f1,threshold,mean_p
0.25,1.0,0.7754166666666666,0.6681367924663922,0.2135564723830857,0.6859903381642513,0.15,0.2500923867809417
0.25,5.0,0.7722916666666666,0.6659020176494203,0.21393932622462672,0.6859903381642513,0.15,0.2507418922293291
0.25,10.0,0.7722916666666666,0.6659020176494203,0.21441700235414493,0.6859903381642513,0.15,0.25146783197600864
0.3,1.0,0.77625,0.670426692806521,0.2013258037000822,0.6859903381642513,0.19,0.2882685313527015
0.3,5.0,0.773125,0.668191917989549,0.2017418115009957,0.6859903381642513,0.19,0.2889792369024249
0.3,10.0,0.7727083333333333,0.668030640837826,0.20225499291413115,0.6859903381642513,0.19,0.28976119266626527
0.35,1.0,0.7716666666666666,0.6666156270958331,0.19319613317603687,0.6859903381642513,0.22,0.3251528952544549
0.35,5.0,0.7733333333333333,0.6685063833983541,0.19362716919037168,0.6859903381642513,0.22,0.32585780986573953
0.35,10.0,0.7727083333333333,0.668030640837826,0.19415095441196503,0.6859903381642513,0.22,0.32662679061134914
0.4,1.0,0.7719791666666667,0.6677646050057665,0.18865997659017503,0.6859903381642513,0.26,0.36119049964330713
0.4,5.0,0.7744791666666666,0.6705607939038609,0.1890776331988856,0.6859903381642513,0.26,0.36182601633209394
0.4,10.0,0.7719791666666667,0.6687074509141985,0.18958056272238555,0.6859903381642513,0.26,0.3625210067307274
0.45,1.0,0.7719791666666667,0.6677646050057665,0.18736990574182424,0.6859903381642513,0.3,0.3966657144073196
0.45,5.0,0.7722916666666666,0.6690775960450187,0.18773887229373362,0.6859903381642513,0.3,0.3971875402714693
0.45,10.0,0.7720833333333333,0.6687631306362137,0.1881869925630221,0.6859903381642513,0.3,0.39776834156379665
0.5,1.0,0.770625,0.6671868397424977,0.18908228185762546,0.6859903381642513,0.33,0.4317741840797359
0.5,5.0,0.7722916666666666,0.6690775960450187,0.18936960717529439,0.6859903381642513,0.33,0.43216241270791755
0.5,10.0,0.7715624999999999,0.6681212697534616,0.18973401682392282,0.6859903381642513,0.33,0.43261285826800844
